DZ_CODE,UR2FOLD,UR3FOLD,UR6FOLD,UR8FOLD
S01007815,1,1,1,1
S01007816,1,1,1,1
S01007817,1,1,1,1
S01007818,1,1,1,1
S01007819,1,1,1,1
S01007820,1,1,1,1
S01007821,1,1,1,1
S01007822,1,1,1,1
S01007823,1,1,1,1
S01007824,1,1,1,1
S01007825,1,1,1,1
S01007826,1,1,1,1
S01007827,1,1,1,1
S01007828,1,1,1,1
S01007829,1,1,1,1
S01007830,1,1,1,1
S01007831,1,1,1,1
S01007832,1,1,1,1
S01007833,1,1,1,1
S01007834,1,1,1,1
S01007835,1,1,1,1
S01007836,1,1,1,1
S01007837,1,1,1,1
S01007838,1,1,1,1
S01007839,1,1,1,1
S01007840,1,1,1,1
S01007841,1,1,1,1
S01007842,1,1,1,1
S01007843,1,1,1,1
S01007844,1,1,1,1
S01007845,1,1,1,1
S01007846,1,1,1,1
S01007847,1,1,1,1
S01007848,1,1,1,1
S01007849,1,1,1,1
S01007850,1,1,1,1
S01007851,1,1,1,1
S01007852,1,1,1,1
S01007853,1,1,1,1
S01007854,1,1,1,1
S01007855,1,1,1,1
S01007856,1,1,1,1
S01007857,1,1,1,1
S01007858,1,1,1,1
S01007859,1,1,1,1
S01007860,1,1,1,1
S01007861,1,1,1,1
S01007862,1,1,1,1
S01007863,1,1,1,1
S01007864,1,1,1,1
S01007865,1,1,1,1
S01007866,1,1,1,1
S01007868,1,1,1,1
S01007869,1,1,1,1
S01008033,1,1,1,1
S01008034,1,1,1,1
S01008035,1,1,1,1
S01008036,1,1,1,1
S01008037,1,1,1,1
S01008038,1,1,1,1
S01008039,1,1,1,1
S01008040,1,1,1,1
S01008041,1,1,1,1
S01008042,1,1,1,1
S01008043,1,1,1,1
S01008044,1,1,1,1
S01008045,1,1,1,1
S01008046,1,1,1,1
S01008047,1,1,1,1
S01008048,1,1,1,1
S01008049,1,1,1,1
S01008050,1,1,1,1
S01008051,1,1,1,1
S01008052,1,1,1,1
S01008053,1,1,1,1
S01008054,1,1,1,1
S01008055,1,1,1,1
S01008056,1,1,1,1
S01008057,1,1,1,1
S01008058,1,1,1,1
S01008059,1,1,1,1
S01008060,1,1,1,1
S01008061,1,1,1,1
S01008062,1,1,1,1
S01008063,1,1,1,1
S01008064,1,1,1,1
S01008065,1,1,1,1
S01008066,1,1,1,1
S01008067,1,1,1,1
S01008068,1,1,1,1
S01008069,1,1,1,1
S01008070,1,1,1,1
S01008071,1,1,1,1
S01008072,1,1,1,1
S01008073,1,1,1,1
S01008074,1,1,1,1
S01008075,1,1,1,1
S01008076,1,1,1,1
S01008077,1,1,1,1
S01008078,1,1,1,1
S01008079,1,1,1,1
S01008080,1,1,1,1
S01008081,1,1,1,1
S01008082,1,1,1,1
S01008083,1,1,1,1
S01008087,1,1,1,1
S01008088,1,1,1,1
S01008089,1,1,1,1
S01008090,1,1,1,1
S01008091,1,1,1,1
S01008092,1,1,1,1
S01008093,1,1,1,1
S01008094,1,1,1,1
S01008095,1,1,1,1
S01008096,1,1,1,1
S01008097,1,1,1,1
S01008098,1,1,1,1
S01008099,1,1,1,1
S01008100,1,1,1,1
S01008101,1,1,1,1
S01008102,1,1,1,1
S01008103,1,1,1,1
S01008104,1,1,1,1
S01008105,1,1,1,1
S01008106,1,1,1,1
S01008107,1,1,1,1
S01008108,1,1,1,1
S01008109,1,1,1,1
S01008110,1,1,1,1
S01008111,1,1,1,1
S01008112,1,1,1,1
S01008113,1,1,1,1
S01008114,1,1,1,1
S01008115,1,1,1,1
S01008165,1,1,1,1
S01008166,1,1,1,1
S01008167,1,1,1,1
S01008168,1,1,1,1
S01008169,1,1,1,1
S01008170,1,1,1,1
S01008171,1,1,1,1
S01008172,1,1,1,1
S01008173,1,1,1,1
S01008174,1,1,1,1
S01008175,1,1,1,1
S01008176,1,1,1,1
S01008177,1,1,1,1
S01008178,1,1,1,1
S01008179,1,1,1,1
S01008180,1,1,1,1
S01008181,1,1,1,1
S01008182,1,1,1,1
S01008183,1,1,1,1
S01008184,1,1,1,1
S01008185,1,1,1,1
S01008186,1,1,1,1
S01008187,1,1,1,1
S01008188,1,1,1,1
S01008189,1,1,1,1
S01008190,1,1,1,1
S01008191,1,1,1,1
S01008192,1,1,1,1
S01008193,1,1,1,1
S01008194,1,1,1,1
S01008195,1,1,1,1
S01008196,1,1,1,1
S01008328,1,1,1,1
S01008329,1,1,1,1
S01008330,1,1,1,1
S01008331,1,1,1,1
S01008332,1,1,1,1
S01008333,1,1,1,1
S01008334,1,1,1,1
S01008335,1,1,1,1
S01008336,1,1,1,1
S01008337,1,1,1,1
S01008338,1,1,1,1
S01008339,1,1,1,1
S01008340,1,1,1,1
S01008341,1,1,1,1
S01008342,1,1,1,1
S01008343,1,1,1,1
S01008344,1,1,1,1
S01008345,1,1,1,1
S01008346,1,1,1,1
S01008347,1,1,1,1
S01008348,1,1,1,1
S01008349,1,1,1,1
S01008350,1,1,1,1
S01008351,1,1,1,1
S01008352,1,1,1,1
S01008353,1,1,1,1
S01008354,1,1,1,1
S01008362,1,1,1,1
S01008363,1,1,1,1
S01008364,1,1,1,1
S01008365,1,1,1,1
S01008366,1,1,1,1
S01008367,1,1,1,1
S01008368,1,1,1,1
S01008369,1,1,1,1
S01008370,1,1,1,1
S01008371,1,1,1,1
S01008372,1,1,1,1
S01008373,1,1,1,1
S01008374,1,1,1,1
S01008375,1,1,1,1
S01008376,1,1,1,1
S01008377,1,1,1,1
S01008378,1,1,1,1
S01008379,1,1,1,1
S01008380,1,1,1,1
S01008381,1,1,1,1
S01008382,1,1,1,1
S01008383,1,1,1,1
S01008384,1,1,1,1
S01008385,1,1,1,1
S01008386,1,1,1,1
S01008387,1,1,1,1
S01008388,1,1,1,1
S01008389,1,1,1,1
S01008390,1,1,1,1
S01008391,1,1,1,1
S01008392,1,1,1,1
S01008393,1,1,1,1
S01008394,1,1,1,1
S01008395,1,1,1,1
S01008396,1,1,1,1
S01008397,1,1,1,1
S01008398,1,1,1,1
S01008399,1,1,1,1
S01008400,1,1,1,1
S01008401,1,1,1,1
S01008402,1,1,1,1
S01008403,1,1,1,1
S01008404,1,1,1,1
S01008405,1,1,1,1
S01008406,1,1,1,1
S01008407,1,1,1,1
S01008408,1,1,1,1
S01008409,1,1,1,1
S01008410,1,1,1,1
S01008411,1,1,1,1
S01008412,1,1,1,1
S01008413,1,1,1,1
S01008414,1,1,1,1
S01008415,1,1,1,1
S01008416,1,1,1,1
S01008417,1,1,1,1
S01008418,1,1,1,1
S01008419,1,1,1,1
S01008420,1,1,1,1
S01008421,1,1,1,1
S01008422,1,1,1,1
S01008423,1,1,1,1
S01008424,1,1,1,1
S01008425,1,1,1,1
S01008426,1,1,1,1
S01008427,1,1,1,1
S01008428,1,1,1,1
S01008429,1,1,1,1
S01008430,1,1,1,1
S01008431,1,1,1,1
S01008432,1,1,1,1
S01008433,1,1,1,1
S01008434,1,1,1,1
S01008435,1,1,1,1
S01008436,1,1,1,1
S01008437,1,1,1,1
S01008439,1,1,1,1
S01008440,1,1,1,1
S01008441,1,1,1,1
S01008442,1,1,1,1
S01008443,1,1,1,1
S01008444,1,1,1,1
S01008445,1,1,1,1
S01008446,1,1,1,1
S01008447,1,1,1,1
S01008448,1,1,1,1
S01008449,1,1,1,1
S01008450,1,1,1,1
S01008451,1,1,1,1
S01008452,1,1,1,1
S01008453,1,1,1,1
S01008454,1,1,1,1
S01008455,1,1,1,1
S01008456,1,1,1,1
S01008457,1,1,1,1
S01008458,1,1,1,1
S01008459,1,1,1,1
S01008460,1,1,1,1
S01008461,1,1,1,1
S01008462,1,1,1,1
S01008463,1,1,1,1
S01008464,1,1,1,1
S01008465,1,1,1,1
S01008466,1,1,1,1
S01008467,1,1,1,1
S01008468,1,1,1,1
S01008469,1,1,1,1
S01008470,1,1,1,1
S01008471,1,1,1,1
S01008472,1,1,1,1
S01008473,1,1,1,1
S01008474,1,1,1,1
S01008475,1,1,1,1
S01008476,1,1,1,1
S01008477,1,1,1,1
S01008478,1,1,1,1
S01008479,1,1,1,1
S01008480,1,1,1,1
S01008481,1,1,1,1
S01008482,1,1,1,1
S01008483,1,1,1,1
S01008484,1,1,1,1
S01008485,1,1,1,1
S01008486,1,1,1,1
S01008487,1,1,1,1
S01008488,1,1,1,1
S01008489,1,1,1,1
S01008490,1,1,1,1
S01008491,1,1,1,1
S01008492,1,1,1,1
S01008493,1,1,1,1
S01008494,1,1,1,1
S01008495,1,1,1,1
S01008496,1,1,1,1
S01008497,1,1,1,1
S01008498,1,1,1,1
S01008499,1,1,1,1
S01008500,1,1,1,1
S01008501,1,1,1,1
S01008502,1,1,1,1
S01008503,1,1,1,1
S01008504,1,1,1,1
S01008505,1,1,1,1
S01008506,1,1,1,1
S01008507,1,1,1,1
S01008508,1,1,1,1
S01008509,1,1,1,1
S01008510,1,1,1,1
S01008511,1,1,1,1
S01008512,1,1,1,1
S01008513,1,1,1,1
S01008514,1,1,1,1
S01008515,1,1,1,1
S01008516,1,1,1,1
S01008517,1,1,1,1
S01008518,1,1,1,1
S01008519,1,1,1,1
S01008520,1,1,1,1
S01008521,1,1,1,1
S01008522,1,1,1,1
S01008523,1,1,1,1
S01008524,1,1,1,1
S01008525,1,1,1,1
S01008526,1,1,1,1
S01008527,1,1,1,1
S01008528,1,1,1,1
S01008529,1,1,1,1
S01008530,1,1,1,1
S01008531,1,1,1,1
S01008532,1,1,1,1
S01008533,1,1,1,1
S01008534,1,1,1,1
S01008535,1,1,1,1
S01008536,1,1,1,1
S01008537,1,1,1,1
S01008538,1,1,1,1
S01008539,1,1,1,1
S01008540,1,1,1,1
S01008541,1,1,1,1
S01008542,1,1,1,1
S01008543,1,1,1,1
S01008544,1,1,1,1
S01008545,1,1,1,1
