index,cluster_no
E14000884,1
E14000885,1
E14000886,1
E14000887,1
E14000888,1
E14000889,1
E14000890,1
E14000891,1
E14000892,1
E14000893,1
E14000894,4
E14000895,2
E14000896,1
E14000897,1
E14000898,4
E14000899,1
E14000900,1
E14000901,4
E14000902,1
E14000903,4
E14000904,1
E14000905,4
E14000906,1
E14000907,1
E14000908,3
E14000909,2
E14000910,3
E14000911,1
E14000912,4
E14000913,4
E14000914,1
E14000915,3
E14000916,1
E14000917,2
E14000918,4
E14000919,1
E14000920,1
E14000921,1
E14000922,1
E14000923,1
E14000924,3
E14000925,4
E14000926,4
E14000927,4
E14000928,2
E14000929,3
E14000930,1
E14000931,1
E14000932,2
E14000933,1
E14000934,3
E14000935,3
E14000936,4
E14000937,3
E14000938,3
E14000939,3
E14000940,3
E14000941,2
E14000942,3
E14000943,4
E14000944,1
E14000945,4
E14000946,2
E14000947,1
E14000948,4
E14000949,1
E14000950,4
E14000951,1
E14000952,2
E14000953,4
E14000954,4
E14000955,1
E14000956,1
E14000957,1
E14000958,1
E14000959,1
E14000960,1
E14000961,3
E14000962,1
E14000963,1
E14000964,2
E14000965,4
E14000966,4
E14000967,1
E14000968,1
E14000969,1
E14000970,1
E14000971,1
E14000972,1
E14000973,1
E14000974,1
E14000975,3
E14000976,1
E14000977,3
E14000978,1
E14000979,1
E14000980,4
E14000981,3
E14000982,1
E14000983,1
E14000984,1
E14000985,1
E14000986,1
E14000987,4
E14000988,4
E14000989,1
E14000990,4
E14000991,3
E14000992,4
E14000993,2
E14000994,4
E14000995,1
E14000996,3
E14000997,3
E14000998,1
E14000999,1
E14001000,2
E14001001,3
E14001002,1
E14001003,4
E14001004,4
E14001005,1
E14001006,1
E14001007,1
E14001008,1
E14001009,1
E14001010,1
E14001011,1
E14001012,1
E14001013,1
E14001014,4
E14001015,3
E14001016,1
E14001017,4
E14001018,1
E14001019,1
E14001020,1
E14001021,1
E14001022,4
E14001023,4
E14001024,4
E14001025,4
E14001026,4
E14001027,1
E14001028,1
E14001029,1
E14001030,1
E14001031,2
E14001032,1
E14001033,4
E14001034,3
E14001035,2
E14001036,1
E14001037,3
E14001038,1
E14001039,1
E14001040,1
E14001041,4
E14001042,1
E14001043,1
E14001044,1
E14001045,3
E14001046,3
E14001047,1
E14001048,4
E14001049,1
E14001050,1
E14001051,1
E14001052,1
E14001053,3
E14001054,1
E14001055,1
E14001056,1
E14001057,4
E14001058,4
E14001059,1
E14001060,4
E14001061,1
E14001062,4
N06000001,1
N06000002,1
N06000003,1
N06000004,1
N06000005,4
N06000006,2
N06000007,2
N06000008,1
N06000009,3
N06000010,2
N06000011,2
N06000012,2
N06000013,4
N06000014,2
N06000015,2
N06000016,2
N06000017,4
N06000018,2
S14000001,1
S14000002,1
S14000003,4
S14000004,4
S14000005,2
S14000006,3
S14000007,2
S14000008,2
S14000009,2
S14000010,1
S14000011,4
S14000012,4
S14000013,2
S14000014,2
S14000015,1
S14000016,1
S14000017,4
S14000018,1
S14000019,4
S14000020,3
S14000021,1
S14000022,1
S14000023,1
S14000024,1
S14000025,1
S14000026,4
S14000027,2
S14000028,1
S14000029,1
S14000030,1
S14000031,1
S14000032,1
S14000033,1
S14000034,1
S14000035,1
S14000036,1
S14000037,4
S14000038,4
S14000039,4
S14000040,3
S14000041,4
S14000042,4
S14000043,1
S14000044,4
S14000045,4
S14000046,2
S14000047,1
S14000048,4
S14000049,2
S14000050,2
S14000051,2
S14000052,4
S14000053,1
S14000054,2
S14000055,2
S14000056,1
S14000057,4
S14000058,2
S14000059,1
W07000041,2
W07000042,4
W07000043,4
W07000044,4
W07000045,4
W07000046,4
W07000047,1
W07000048,1
W07000049,4
W07000050,1
W07000051,1
W07000052,1
W07000053,1
W07000054,4
W07000055,4
W07000056,1
W07000057,3
W07000058,3
W07000059,4
W07000060,4
W07000061,2
W07000062,3
W07000063,2
W07000064,2
W07000065,2
W07000066,2
W07000067,2
W07000068,2
W07000069,4
W07000070,4
W07000071,4
W07000072,1
W07000073,1
W07000074,3
W07000075,4
W07000076,4
W07000077,1
W07000078,4
W07000079,1
W07000080,1
